Publishing_Year;Book_Name;Author;Language_Code;Author_Rating;Book_Average_Rating;Book_Ratings_Count;Genre;Gross_Sales;Publisher_Revenue_Verlagumsatz;Sale_Price;Sale_Rank;Publisher;Units_Sold;Buchtitel;Verfilmt?;;
2007;Nicht Bestseller Buch 55;Autor 109;FR;33635;28157;14;Science Fiction;956.0;9917.81;45.909,00  ;;Verlag B;;;;;
2015;Nicht Bestseller Buch 56;Autor 118;ES;42401;45691;2;Sachbuch;489.0;5674.15;20.29;;Selbstverlag;;;;;
2007;Nicht Bestseller Buch 57;Autor 111;ES;3.0;45718;1;Science Fiction;749.0;8280.47;16.72;;Selbstverlag;;;;;
2005;Nicht Bestseller Buch 58;Autor 53;EN;45903;22678;4;Roman;152.0;1535.09;29.160,00  ;;Verlag B;;;;;
2002;Nicht Bestseller Buch 59;Autor 28;ES;13940;45810;12;Roman;494.0;4351.22;45.681,00  ;;Verlag A;;;;;
2019;Nicht Bestseller Buch 60;Autor 133;ES;19391;35462;3;Sachbuch;506.0;3241.35;13.32;;Verlag B;;;;;
2016;Nicht Bestseller Buch 61;Autor 44;ES;45690;13912;10;Roman;1081.0;8374.21;45.711,00  ;;Verlag C;;;;;
2015;Nicht Bestseller Buch 62;Autor 189;EN;45660;11749;12;Science Fiction;112.0;991.62;45.694,00  ;;Verlag B;;;;;
2014;Nicht Bestseller Buch 63;Autor 119;EN;24139;45811;8;Sachbuch;1280.0;10189.59;24.624,00  ;;Verlag B;;;;;
2005;Nicht Bestseller Buch 64;Autor 101;FR;18660;13210;9;Biografie;1799.0;10509.37;15.38;;Verlag C;;;;;
2017;Nicht Bestseller Buch 65;Autor 38;FR;12816;45352;3;Biografie;779.0;11609.53;23.75;;Selbstverlag;;;;;
2023;Nicht Bestseller Buch 66;Autor 108;ES;23408;23377;6;Thriller;1669.0;20905.45;23.894,00  ;;Verlag C;;;;;
2024;Nicht Bestseller Buch 67;Autor 26;DE;12086;45903;9;Roman;1356.0;13897.41;22.49;;Selbstverlag;;;;;
2020;Nicht Bestseller Buch 68;Autor 137;FR;46813;20852;7;Biografie;471.0;2842.0;45.536,00  ;;Selbstverlag;;;;;
2022;Nicht Bestseller Buch 69;Autor 59;DE;46082;34731;11;Science Fiction;1434.0;14859.07;18.77;;Verlag A;;;;;
2004;Nicht Bestseller Buch 70;Autor 102;ES;45871;45902;14;Thriller;329.0;4320.75;17.75;;Verlag C;;;;;
2015;Nicht Bestseller Buch 71;Autor 67;EN;15036;25965;0;Sachbuch;1807.0;13750.76;45.761,00  ;;Selbstverlag;;;;;
2008;Nicht Bestseller Buch 72;Autor 182;FR;41334;45872;7;Thriller;835.0;6877.84;20.34;;Selbstverlag;;;;;
2000;Nicht Bestseller Buch 73;Autor 194;EN;45871;17564;8;Biografie;1162.0;7731.56;17.43;;Verlag C;;;;;
2007;Nicht Bestseller Buch 74;Autor 81;DE;45779;33970;15;Roman;1236.0;17461.83;13.667,00  ;;Verlag C;;;;;
2009;Nicht Bestseller Buch 75;Autor 86;DE;28522;27395;7;Thriller;1289.0;13553.06;31.990,00  ;;Selbstverlag;;;;;
2009;Nicht Bestseller Buch 76;Autor 80;FR;42401;24473;11;Roman;205.0;2572.85;42.887,00  ;;Verlag A;;;;;
2001;Nicht Bestseller Buch 77;Autor 101;DE;13181;42401;10;Thriller;313.0;1652.47;18.96;;Selbstverlag;;;;;
2001;Nicht Bestseller Buch 78;Autor 55;FR;45840;28157;5;Biografie;1673.0;15472.48;28.246,00  ;;Selbstverlag;;;;;
2019;Nicht Bestseller Buch 79;Autor 31;EN;17593;16132;7;Sachbuch;677.0;8120.79;45.797,00  ;;Verlag B;;;;;
2018;Nicht Bestseller Buch 80;Autor 45;FR;35827;35065;15;Roman;1398.0;13897.35;13.51;;Selbstverlag;;;;;
2003;Nicht Bestseller Buch 81;Autor 132;ES;28157;15738;10;Thriller;410.0;6021.99;45.874,00  ;;Selbstverlag;;;;;
2011;Nicht Bestseller Buch 82;Autor 46;EN;43132;45902;1;Science Fiction;1208.0;16311.98;18.142,00  ;;Verlag B;;;;;
2011;Nicht Bestseller Buch 83;Autor 129;EN;45352;45870;15;Sachbuch;172.0;1879.99;45.782,00  ;;Selbstverlag;;;;;
2011;Nicht Bestseller Buch 84;Autor 16;ES;23774;44228;9;Roman;1008.0;5235.47;45.674,00  ;;Verlag C;;;;;
2002;Nicht Bestseller Buch 85;Autor 108;FR;17958;45840;7;Fantasy;716.0;8232.62;22.21;;Selbstverlag;;;;;
2023;Nicht Bestseller Buch 86;Autor 56;ES;46082;45323;8;Roman;1459.0;21068.42;17.288,00  ;;Verlag C;;;;;
2015;Nicht Bestseller Buch 87;Autor 6;FR;46447;45323;15;Roman;871.0;9912.08;17.137,00  ;;Verlag A;;;;;
2005;Nicht Bestseller Buch 88;Autor 54;ES;16497;34001;2;Biografie;1987.0;12125.3;13.98;;Verlag B;;;;;
2011;Nicht Bestseller Buch 89;Autor 109;FR;17958;26299;0;Roman;1614.0;10994.02;14.82;;Verlag C;;;;;
2012;Nicht Bestseller Buch 90;Autor 185;ES;42767;42767;7;Science Fiction;1713.0;14974.0;16.954,00  ;;Selbstverlag;;;;;
2002;Nicht Bestseller Buch 91;Autor 16;EN;44593;12816;3;Thriller;780.0;8270.21;43.009,00  ;;Verlag C;;;;;
2001;Nicht Bestseller Buch 92;Autor 57;EN;34731;45689;15;Sachbuch;1706.0;12669.67;14.82;;Selbstverlag;;;;;
2010;Nicht Bestseller Buch 93;Autor 177;FR;41306;33604;4;Roman;1351.0;20129.71;45.663,00  ;;Selbstverlag;;;;;
2011;Nicht Bestseller Buch 94;Autor 15;ES;46419;45901;8;Roman;274.0;2914.16;16.377,00  ;;Verlag C;;;;;
2023;Nicht Bestseller Buch 95;Autor 109;FR;16497;14277;7;Thriller;1813.0;22384.18;15.250,00  ;;Verlag B;;;;;
2000;Nicht Bestseller Buch 96;Autor 176;FR;17564;43497;15;Biografie;820.0;7653.39;15.73;;Selbstverlag;;;;;
2009;Nicht Bestseller Buch 97;Autor 161;EN;31079;45779;10;Sachbuch;1604.0;21353.15;18.77;;Verlag B;;;;;
2002;Nicht Bestseller Buch 98;Autor 115;EN;11749;27030;7;Sachbuch;1522.0;9637.49;20.48;;Selbstverlag;;;;;
2021;Nicht Bestseller Buch 99;Autor 46;ES;16862;45718;5;Biografie;1128.0;13512.1;45.916,00  ;;Verlag C;;;;;
2024;Nicht Bestseller Buch 100;Autor 80;ES;45964;34366;14;Thriller;1111.0;6413.37;45.676,00  ;;Verlag B;;;;;
2018;Nicht Bestseller Buch 101;Autor 199;ES;41306;45691;10;Fantasy;1738.0;13192.0;21.74;;Verlag C;;;;;
2014;Nicht Bestseller Buch 102;Autor 146;DE;46082;30713;11;Thriller;1892.0;27712.25;23.651,00  ;;Selbstverlag;;;;;
2016;Nicht Bestseller Buch 103;Autor 128;FR;45691;23043;3;Biografie;1688.0;23790.37;45.769,00  ;;Verlag C;;;;;
2022;Nicht Bestseller Buch 104;Autor 94;EN;35096;31444;6;Science Fiction;1535.0;11686.22;23.42;;Verlag A;;;;;
2004;Nicht Bestseller Buch 105;Autor 196;FR;31809;21217;9;Science Fiction;1844.0;9674.67;21.27;;Selbstverlag;;;;;
2013;Nicht Bestseller Buch 106;Autor 19;DE;45840;3.0;15;Roman;410.0;4555.26;20.62;;Selbstverlag;;;;;
2016;Nicht Bestseller Buch 107;Autor 127;FR;12844;27791;5;Thriller;647.0;8458.5;17.75;;Verlag A;;;;;
2013;Nicht Bestseller Buch 108;Autor 49;ES;45964;31444;7;Biografie;1030.0;11566.08;45.566,00  ;;Verlag B;;;;;
2004;Nicht Bestseller Buch 109;Autor 56;FR;12451;46419;8;Biografie;324.0;3156.58;21.76;;Selbstverlag;;;;;
2020;Nicht Bestseller Buch 110;Autor 189;ES;12844;27791;7;Fantasy;1978.0;10014.27;24.34;;Verlag C;;;;;
2015;Nicht Bestseller Buch 111;Autor 147;ES;46419;45901;4;Fantasy;1507.0;17668.85;11.963,00  ;;Verlag A;;;;;
2024;Nicht Bestseller Buch 112;Autor 33;EN;30713;19391;0;Thriller;1268.0;7299.43;45.884,00  ;;Verlag C;;;;;
2022;Nicht Bestseller Buch 113;Autor 48;FR;23408;44958;0;Fantasy;327.0;3556.44;43.009,00  ;;Verlag A;;;;;
2001;Nicht Bestseller Buch 114;Autor 45;ES;45352;15036;12;Thriller;1139.0;16580.71;13.31;;Selbstverlag;;;;;
2017;Nicht Bestseller Buch 115;Autor 47;FR;45993;21217;1;Sachbuch;855.0;7277.04;45.766,00  ;;Verlag C;;;;;
2014;Nicht Bestseller Buch 116;Autor 75;EN;44986;17227;15;Biografie;1767.0;18670.92;18.111,00  ;;Verlag A;;;;;
2010;Nicht Bestseller Buch 117;Autor 29;DE;45719;32143;0;Science Fiction;442.0;5536.57;28.307,00  ;;Verlag A;;;;;
2014;Nicht Bestseller Buch 118;Autor 168;EN;43525;43497;0;Fantasy;1193.0;9923.27;18.98;;Verlag B;;;;;
2024;Nicht Bestseller Buch 119;Autor 103;ES;43132;42767;12;Sachbuch;1782.0;14537.36;23.48;;Verlag B;;;;;
2009;Nicht Bestseller Buch 120;Autor 61;DE;21217;42064;5;Thriller;1605.0;10143.0;43.739,00  ;;Selbstverlag;;;;;
2019;Nicht Bestseller Buch 121;Autor 167;ES;26696;20852;7;Science Fiction;967.0;11824.79;45.678,00  ;;Verlag B;;;;;
2015;Nicht Bestseller Buch 122;Autor 162;FR;42036;11749;3;Roman;1456.0;19890.73;20.23;;Verlag A;;;;;
2017;Nicht Bestseller Buch 123;Autor 163;EN;45810;34731;1;Roman;1410.0;18865.57;15.26;;Selbstverlag;;;;;
2009;Nicht Bestseller Buch 124;Autor 126;FR;34366;45718;5;Science Fiction;202.0;1876.06;45.818,00  ;;Verlag C;;;;;
2019;Nicht Bestseller Buch 125;Autor 87;DE;22678;32174;0;Science Fiction;721.0;6683.32;18.42;;Verlag C;;;;;
2014;Nicht Bestseller Buch 126;Autor 176;DE;45871;21186;4;Thriller;728.0;8523.64;45.923,00  ;;Verlag A;;;;;
2001;Nicht Bestseller Buch 127;Autor 48;FR;41334;41306;6;Sachbuch;1150.0;7689.39;16.21;;Verlag A;;;;;
2015;Nicht Bestseller Buch 128;Autor 38;DE;41671;35796;12;Fantasy;656.0;3696.97;15.47;;Verlag A;;;;;
2007;Nicht Bestseller Buch 129;Autor 119;EN;34366;42795;8;Thriller;502.0;3797.41;23.25;;Selbstverlag;;;;;
2013;Nicht Bestseller Buch 130;Autor 20;ES;33635;13181;6;Sachbuch;1810.0;20787.2;23.621,00  ;;Verlag A;;;;;
2015;Nicht Bestseller Buch 131;Autor 149;FR;45659;45810;4;Roman;663.0;7052.2;45.695,00  ;;Selbstverlag;;;;;
2006;Nicht Bestseller Buch 132;Autor 22;FR;12086;25965;2;Science Fiction;1632.0;16634.0;29.160,00  ;;Selbstverlag;;;;;
2015;Nicht Bestseller Buch 133;Autor 25;DE;46813;22282;13;Science Fiction;762.0;7317.0;24.23;;Verlag C;;;;;
2010;Nicht Bestseller Buch 134;Autor 157;ES;12816;21186;11;Fantasy;1914.0;24605.4;44.774,00  ;;Verlag B;;;;;
2018;Nicht Bestseller Buch 135;Autor 179;DE;45994;22678;14;Roman;1205.0;18001.15;14.85;;Verlag C;;;;;
2007;Nicht Bestseller Buch 136;Autor 176;DE;23408;45964;12;Fantasy;1741.0;20252.45;23.986,00  ;;Verlag B;;;;;
2008;Nicht Bestseller Buch 137;Autor 13;EN;22678;45872;12;Sachbuch;528.0;3748.82;45.878,00  ;;Verlag B;;;;;
2015;Nicht Bestseller Buch 138;Autor 179;EN;45691;12816;1;Biografie;1188.0;7269.72;45.976,00  ;;Verlag A;;;;;
2017;Nicht Bestseller Buch 139;Autor 100;EN;16132;35065;13;Fantasy;1933.0;14222.5;15.311,00  ;;Verlag A;;;;;
2011;Nicht Bestseller Buch 140;Autor 72;EN;3.0;14305;1;Science Fiction;1634.0;21597.25;20.43;;Selbstverlag;;;;;
2008;Nicht Bestseller Buch 141;Autor 92;FR;16862;22678;8;Thriller;1127.0;10720.84;45.847,00  ;;Verlag B;;;;;
2012;Nicht Bestseller Buch 142;Autor 133;EN;30348;34731;4;Sachbuch;278.0;2669.34;17.51;;Verlag A;;;;;
2009;Nicht Bestseller Buch 143;Autor 45;DE;35096;45691;8;Biografie;265.0;2341.2;45.800,00  ;;Verlag C;;;;;
2009;Nicht Bestseller Buch 144;Autor 124;ES;17958;45660;7;Thriller;801.0;5427.58;24.79;;Verlag B;;;;;
2002;Nicht Bestseller Buch 145;Autor 189;FR;45691;15008;8;Fantasy;1473.0;16562.15;45.856,00  ;;Verlag A;;;;;
2016;Nicht Bestseller Buch 146;Autor 195;DE;20121;42401;13;Biografie;116.0;1629.06;23.255,00  ;;Verlag B;;;;;
2007;Nicht Bestseller Buch 147;Autor 42;FR;45750;34366;13;Biografie;1562.0;16440.05;45.852,00  ;;Verlag A;;;;;
2020;Nicht Bestseller Buch 148;Autor 200;EN;45902;45750;2;Biografie;1635.0;8782.13;20.89;;Verlag A;;;;;
2004;Nicht Bestseller Buch 149;Autor 169;ES;45690;15008;2;Thriller;794.0;11715.03;45.888,00  ;;Verlag C;;;;;
2022;Nicht Bestseller Buch 150;Autor 126;ES;33270;35462;8;Biografie;896.0;7615.76;31.717,00  ;;Verlag B;;;;;
2016;Nicht Bestseller Buch 151;Autor 147;EN;46784;46447;8;Thriller;169.0;1988.75;20.86;;Verlag C;;;;;
2024;Nicht Bestseller Buch 152;Autor 25;FR;16469;18994;15;Roman;738.0;9360.9;23.316,00  ;;Selbstverlag;;;;;
2013;Nicht Bestseller Buch 153;Autor 50;ES;17593;45750;0;Science Fiction;1637.0;20057.26;13.69;;Verlag C;;;;;
2000;Nicht Bestseller Buch 154;Autor 185;EN;12086;30317;8;Thriller;950.0;9874.07;45.793,00  ;;Verlag B;;;;;
2002;Nicht Bestseller Buch 155;Autor 73;ES;16834;45749;0;Sachbuch;1038.0;10826.15;45.906,00  ;;Selbstverlag;;;;;
2021;Nicht Bestseller Buch 156;Autor 121;FR;14277;45779;7;Thriller;1975.0;17314.25;45.824,00  ;;Verlag B;;;;;
2022;Nicht Bestseller Buch 157;Autor 45;DE;41334;27030;1;Thriller;1651.0;22906.0;45.854,00  ;;Verlag C;;;;;
2003;Nicht Bestseller Buch 158;Autor 145;EN;45749;35796;7;Sachbuch;1150.0;6958.18;45.887,00  ;;Verlag A;;;;;
2020;Nicht Bestseller Buch 159;Autor 17;ES;43160;28856;1;Thriller;1411.0;17751.13;16.66;;Verlag B;;;;;
2002;Nicht Bestseller Buch 160;Autor 119;EN;11355;25934;5;Thriller;513.0;5313.91;45.768,00  ;;Verlag B;;;;;
2005;Nicht Bestseller Buch 161;Autor 191;DE;22678;45779;14;Fantasy;747.0;6391.37;45.890,00  ;;Selbstverlag;;;;;
2006;Nicht Bestseller Buch 162;Autor 151;ES;43525;21582;10;Science Fiction;792.0;5150.07;23.52;;Verlag A;;;;;
2008;Nicht Bestseller Buch 163;Autor 133;FR;32540;47150;13;Roman;1051.0;10408.63;20.302,00  ;;Verlag A;;;;;
2003;Nicht Bestseller Buch 164;Autor 154;FR;45691;27061;12;Science Fiction;1233.0;10466.87;27.364,00  ;;Verlag A;;;;;
2007;Nicht Bestseller Buch 165;Autor 59;FR;14277;45689;4;Science Fiction;1735.0;18503.03;20.333,00  ;;Verlag C;;;;;
2018;Nicht Bestseller Buch 166;Autor 47;EN;32174;47150;3;Science Fiction;495.0;6986.2;14.24;;Selbstverlag;;;;;
2013;Nicht Bestseller Buch 167;Autor 69;EN;44986;31079;2;Fantasy;1580.0;8022.08;45.710,00  ;;Verlag A;;;;;
2012;Nicht Bestseller Buch 168;Autor 181;ES;11720;43160;6;Roman;788.0;5116.0;31.686,00  ;;Verlag C;;;;;
2008;Nicht Bestseller Buch 169;Autor 117;EN;45718;45659;4;Roman;1625.0;10810.92;17.41;;Verlag B;;;;;
2012;Nicht Bestseller Buch 170;Autor 140;EN;45902;46447;4;Roman;207.0;2811.1;41.426,00  ;;Verlag B;;;;;
2014;Nicht Bestseller Buch 171;Autor 169;DE;31809;26330;11;Thriller;329.0;3532.96;24.64;;Verlag A;;;;;
2001;Nicht Bestseller Buch 172;Autor 21;ES;35827;19391;10;Science Fiction;491.0;3699.63;45.874,00  ;;Verlag C;;;;;
2010;Nicht Bestseller Buch 173;Autor 115;EN;45690;45839;5;Roman;1031.0;5471.08;21.28;;Verlag C;;;;;
2019;Nicht Bestseller Buch 174;Autor 193;DE;13940;44228;4;Roman;1370.0;10568.74;22.23;;Verlag B;;;;;
2000;Nicht Bestseller Buch 175;Autor 166;EN;42036;45839;3;Science Fiction;1319.0;15546.1;32.752,00  ;;Selbstverlag;;;;;
2005;Nicht Bestseller Buch 176;Autor 186;EN;29983;34335;12;Roman;1689.0;15776.03;20.302,00  ;;Verlag A;;;;;
2007;Nicht Bestseller Buch 177;Autor 156;FR;45840;34700;1;Science Fiction;1946.0;15847.45;45.739,00  ;;Verlag C;;;;;
2015;Nicht Bestseller Buch 178;Autor 164;EN;22313;35462;1;Roman;527.0;4753.7;45.768,00  ;;Verlag B;;;;;
2006;Nicht Bestseller Buch 179;Autor 24;ES;17958;35065;12;Fantasy;584.0;5442.67;18.73;;Verlag C;;;;;
2002;Nicht Bestseller Buch 180;Autor 98;FR;46054;41699;4;Sachbuch;1894.0;26533.46;23.79;;Verlag A;;;;;
2023;Nicht Bestseller Buch 181;Autor 36;FR;19025;16834;8;Fantasy;739.0;9035.52;45.752,00  ;;Selbstverlag;;;;;
2022;Nicht Bestseller Buch 182;Autor 127;DE;47150;15373;1;Fantasy;1776.0;26458.1;24.87;;Selbstverlag;;;;;
2018;Nicht Bestseller Buch 183;Autor 84;DE;45840;13575;4;Biografie;1432.0;13670.04;45.830,00  ;;Selbstverlag;;;;;
2015;Nicht Bestseller Buch 184;Autor 106;FR;44256;44986;15;Sachbuch;488.0;5668.2;15.81;;Verlag C;;;;;
2000;Nicht Bestseller Buch 185;Autor 106;FR;12479;45963;12;Biografie;259.0;3767.07;13.92;;Verlag C;;;;;
2008;Nicht Bestseller Buch 186;Autor 71;FR;43497;23043;14;Thriller;1243.0;8065.35;24.35;;Selbstverlag;;;;;
2023;Nicht Bestseller Buch 187;Autor 55;FR;45352;45903;12;Roman;1523.0;18923.12;16.78;;Verlag B;;;;;
2021;Nicht Bestseller Buch 188;Autor 68;EN;12816;11749;2;Sachbuch;1882.0;22048.53;21.125,00  ;;Verlag B;;;;;
2011;Nicht Bestseller Buch 189;Autor 75;DE;2.0;35065;11;Biografie;704.0;7162.35;19.24;;Verlag C;;;;;
2012;Nicht Bestseller Buch 190;Autor 117;DE;16834;17958;12;Roman;1224.0;17876.53;45.735,00  ;;Verlag C;;;;;
2003;Nicht Bestseller Buch 191;Autor 194;FR;22678;11355;8;Thriller;347.0;2857.68;24.71;;Verlag B;;;;;
2014;Nicht Bestseller Buch 192;Autor 66;DE;43160;45749;1;Science Fiction;1141.0;6363.3;16.82;;Verlag B;;;;;
2011;Nicht Bestseller Buch 193;Autor 27;EN;13181;45963;15;Sachbuch;507.0;2942.49;18.94;;Verlag A;;;;;
2023;Nicht Bestseller Buch 194;Autor 171;ES;45840;16103;7;Sachbuch;1311.0;15133.98;45.699,00  ;;Verlag B;;;;;
2004;Nicht Bestseller Buch 195;Autor 43;FR;24139;41699;13;Roman;1189.0;13926.74;19.46;;Verlag B;;;;;
2003;Nicht Bestseller Buch 196;Autor 173;DE;19756;21186;9;Thriller;1941.0;15599.65;13.97;;Verlag A;;;;;
2001;Nicht Bestseller Buch 197;Autor 119;EN;45749;45719;4;Roman;1255.0;16961.04;24.38;;Verlag A;;;;;
2011;Nicht Bestseller Buch 198;Autor 135;ES;46082;45901;10;Thriller;513.0;4792.57;15.14;;Verlag C;;;;;
2006;Nicht Bestseller Buch 199;Autor 58;DE;31079;45780;3;Biografie;304.0;3449.9;21.42;;Verlag B;;;;;
2001;Nicht Bestseller Buch 200;Autor 13;ES;45811;18994;8;Sachbuch;836.0;8467.13;26.543,00  ;;Verlag C;;;;;
2022;Nicht Bestseller Buch 201;Autor 169;ES;12844;43525;4;Biografie;875.0;12753.96;24.51;;Selbstverlag;;;;;
2004;Nicht Bestseller Buch 202;Autor 69;EN;17593;45840;5;Fantasy;1498.0;19762.36;23.16;;Verlag C;;;;;
2020;Nicht Bestseller Buch 203;Autor 101;ES;45749;44593;12;Biografie;1321.0;19292.02;18.78;;Verlag C;;;;;
2015;Nicht Bestseller Buch 204;Autor 25;FR;3.0;20455;10;Sachbuch;1834.0;21839.58;14.81;;Verlag B;;;;;
2015;Nicht Bestseller Buch 205;Autor 128;EN;41334;33270;8;Science Fiction;853.0;8068.06;11.841,00  ;;Selbstverlag;;;;;
2020;Nicht Bestseller Buch 206;Autor 166;ES;3.0;33270;12;Science Fiction;753.0;8546.59;45.905,00  ;;Verlag B;;;;;
2019;Nicht Bestseller Buch 207;Autor 156;ES;13940;26665;14;Thriller;1521.0;13298.72;21.42;;Verlag A;;;;;
2007;Nicht Bestseller Buch 208;Autor 138;DE;42401;45810;5;Roman;412.0;4036.77;23.18;;Verlag A;;;;;
2004;Nicht Bestseller Buch 209;Autor 128;EN;13547;31079;5;Sachbuch;1085.0;13433.92;45.665,00  ;;Selbstverlag;;;;;
2018;Nicht Bestseller Buch 210;Autor 36;FR;13940;45779;10;Sachbuch;1347.0;10151.27;16.83;;Verlag C;;;;;
2020;Nicht Bestseller Buch 211;Autor 44;FR;14305;27395;4;Sachbuch;600.0;8524.11;17.91;;Verlag A;;;;;
2009;Nicht Bestseller Buch 212;Autor 179;EN;27061;34001;9;Biografie;1077.0;15171.32;18.79;;Selbstverlag;;;;;
2002;Nicht Bestseller Buch 213;Autor 21;EN;2.0;23408;7;Sachbuch;1571.0;22420.11;21.42;;Verlag C;;;;;
2013;Nicht Bestseller Buch 214;Autor 157;DE;11749;35065;9;Biografie;1137.0;15568.82;15.21;;Verlag B;;;;;
2008;Nicht Bestseller Buch 215;Autor 187;DE;27061;17199;3;Science Fiction;254.0;3640.56;42.522,00  ;;Verlag B;;;;;
2000;Nicht Bestseller Buch 216;Autor 157;FR;18660;20455;3;Roman;319.0;3691.58;13.84;;Verlag C;;;;;
2021;Nicht Bestseller Buch 217;Autor 101;EN;46813;16103;8;Sachbuch;1534.0;9226.19;13.32;;Verlag C;;;;;
2008;Nicht Bestseller Buch 218;Autor 153;ES;17930;26299;4;Roman;562.0;3147.45;14.93;;Verlag A;;;;;
2018;Nicht Bestseller Buch 219;Autor 85;ES;45659;25965;9;Thriller;330.0;4461.19;21.21;;Verlag A;;;;;
2002;Nicht Bestseller Buch 220;Autor 80;FR;15373;21217;12;Sachbuch;836.0;6248.96;17.78;;Selbstverlag;;;;;
2024;Nicht Bestseller Buch 221;Autor 143;DE;43160;41671;3;Biografie;1021.0;8396.24;45.915,00  ;;Verlag A;;;;;
2011;Nicht Bestseller Buch 222;Autor 32;EN;13181;45659;4;Thriller;423.0;2129.82;22.463,00  ;;Verlag A;;;;;
2013;Nicht Bestseller Buch 223;Autor 157;EN;35096;21217;13;Roman;1305.0;16675.91;45.663,00  ;;Verlag C;;;;;
2003;Nicht Bestseller Buch 224;Autor 143;FR;11720;45749;12;Fantasy;1367.0;9504.57;19.41;;Verlag A;;;;;
2013;Nicht Bestseller Buch 225;Autor 93;FR;42036;20090;0;Thriller;1622.0;20441.98;19.81;;Verlag C;;;;;
2020;Nicht Bestseller Buch 226;Autor 74;EN;31809;29983;2;Thriller;1392.0;16430.58;32.112,00  ;;Verlag B;;;;;
2017;Nicht Bestseller Buch 227;Autor 199;FR;32540;15766;9;Biografie;113.0;625.56;13.43;;Verlag C;;;;;
2001;Nicht Bestseller Buch 228;Autor 51;FR;45964;46447;12;Science Fiction;175.0;1186.15;20.95;;Verlag B;;;;;
2024;Nicht Bestseller Buch 229;Autor 92;ES;28157;45691;3;Biografie;434.0;6293.94;45.681,00  ;;Verlag A;;;;;
2022;Nicht Bestseller Buch 230;Autor 188;EN;45749;44228;10;Science Fiction;561.0;3001.78;23.986,00  ;;Verlag C;;;;;
2022;Nicht Bestseller Buch 231;Autor 163;ES;45352;23377;12;Fantasy;1778.0;10158.81;36.130,00  ;;Verlag C;;;;;
2023;Nicht Bestseller Buch 232;Autor 105;DE;42401;15036;14;Thriller;1313.0;11847.0;26.238,00  ;;Verlag C;;;;;
2014;Nicht Bestseller Buch 233;Autor 25;ES;28157;13547;7;Fantasy;1018.0;10479.82;20.97;;Verlag A;;;;;
2024;Nicht Bestseller Buch 234;Autor 55;FR;45963;28856;1;Science Fiction;322.0;1811.4;32.356,00  ;;Selbstverlag;;;;;
2001;Nicht Bestseller Buch 235;Autor 68;FR;14277;21186;8;Fantasy;1277.0;9115.21;16.21;;Verlag C;;;;;
2012;Nicht Bestseller Buch 236;Autor 142;EN;34731;45719;2;Science Fiction;1247.0;8993.54;22.91;;Verlag A;;;;;
2023;Nicht Bestseller Buch 237;Autor 83;DE;46419;42795;0;Fantasy;1850.0;25753.75;14.55;;Verlag B;;;;;
2020;Nicht Bestseller Buch 238;Autor 163;DE;35827;17958;11;Roman;1377.0;12025.56;45.830,00  ;;Verlag B;;;;;
2019;Nicht Bestseller Buch 239;Autor 5;FR;45840;30317;9;Thriller;817.0;4860.43;45.819,00  ;;Selbstverlag;;;;;
2011;Nicht Bestseller Buch 240;Autor 194;FR;25965;43497;11;Science Fiction;965.0;4835.73;14.53;;Selbstverlag;;;;;
2011;Nicht Bestseller Buch 241;Autor 104;ES;17593;35431;0;Roman;217.0;1619.81;34.639,00  ;;Verlag C;;;;;
2010;Nicht Bestseller Buch 242;Autor 42;DE;45689;45750;12;Science Fiction;878.0;13062.23;13.759,00  ;;Verlag C;;;;;
2016;Nicht Bestseller Buch 243;Autor 39;ES;47178;15738;4;Roman;1931.0;22918.86;16.89;;Selbstverlag;;;;;
2001;Nicht Bestseller Buch 244;Autor 101;ES;13940;29983;11;Fantasy;1325.0;9637.9;17.14;;Selbstverlag;;;;;
2022;Nicht Bestseller Buch 245;Autor 96;FR;24504;28157;0;Biografie;1041.0;10095.48;14.489,00  ;;Selbstverlag;;;;;
2018;Nicht Bestseller Buch 246;Autor 43;EN;31079;35096;7;Sachbuch;920.0;7424.34;23.45;;Selbstverlag;;;;;
2019;Nicht Bestseller Buch 247;Autor 2;DE;36192;45690;2;Science Fiction;1810.0;17488.21;30.256,00  ;;Selbstverlag;;;;;
2002;Nicht Bestseller Buch 248;Autor 105;DE;44986;45779;6;Roman;1993.0;21548.42;14.16;;Verlag C;;;;;
2024;Nicht Bestseller Buch 249;Autor 32;FR;24139;45810;2;Thriller;1023.0;8649.74;16.27;;Selbstverlag;;;;;
2021;Nicht Bestseller Buch 250;Autor 137;DE;31809;17199;8;Sachbuch;1851.0;16943.73;16.954,00  ;;Selbstverlag;;;;;
2010;Nicht Bestseller Buch 251;Autor 171;FR;34001;16862;4;Biografie;973.0;11573.2;18.28;;Selbstverlag;;;;;
2022;Nicht Bestseller Buch 252;Autor 149;FR;17227;34700;6;Thriller;654.0;6616.04;27.942,00  ;;Verlag C;;;;;
2016;Nicht Bestseller Buch 253;Autor 30;DE;45872;34366;2;Roman;818.0;7717.63;21.44;;Verlag B;;;;;
2014;Nicht Bestseller Buch 254;Autor 113;DE;16497;42767;10;Fantasy;941.0;8106.33;24.959,00  ;;Selbstverlag;;;;;
2001;Nicht Bestseller Buch 255;Autor 131;EN;11383;15373;6;Biografie;978.0;10103.37;15.59;;Selbstverlag;;;;;
